Found 0 violation(s).
         98739 function calls (96267 primitive calls) in 0.175 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     10/5    0.000    0.000    0.053    0.011 <frozen importlib._bootstrap>:1390(_handle_fromlist)
       21    0.000    0.000    0.000    0.000 _compiler.py:472(_get_charset_prefix)
       36    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1206(path_stats)
       26    0.000    0.000    0.000    0.000 ipaddress.py:474(_prefix_from_prefix_string)
        1    0.000    0.000    0.015    0.015 sourceref.py:1(<module>)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1460(_path_hooks)
       16    0.000    0.000    0.000    0.000 threading.py:515(release)
       22    0.000    0.000    0.000    0.000 enum.py:966(_get_mixins_)
        1    0.000    0.000    0.004    0.004 hashlib.py:1(<module>)
       14    0.000    0.000    0.001    0.000 hashlib.py:126(__get_openssl_constructor)
       18    0.000    0.000    0.000    0.000 dataclasses.py:437(_tuple_str)
       60    0.000    0.000    0.001    0.000 pathlib.py:719(__truediv__)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1571(__init__)
        7    0.000    0.000    0.000    0.000 <frozen zipimport>:64(__init__)
        6    0.000    0.000    0.000    0.000 gettext.py:224(_expand_lang)
        1    0.000    0.000    0.001    0.001 ipaddress.py:2382(_IPv6Constants)
       62    0.000    0.000    0.002    0.000 pathlib.py:1097(rglob)
       62    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
       28    0.000    0.000    0.000    0.000 _parser.py:86(opengroup)
       62    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
      136    0.000    0.000    0.000    0.000 dataclasses.py:461(<genexpr>)
       56    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
        9    0.000    0.000    0.000    0.000 threading.py:616(set)
       11    0.000    0.000    0.000    0.000 enum.py:956(_check_for_existing_members_)
       55    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
       55    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:185(_path_abspath)
       59    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:982(find_spec)
      112    0.000    0.000    0.000    0.000 _parser.py:83(groups)
       24    0.000    0.000    0.000    0.000 _parser.py:312(_class_escape)
        6    0.000    0.000    0.001    0.000 dataclasses.py:627(_repr_fn)
       21    0.000    0.000    0.000    0.000 ipaddress.py:1161(_make_netmask)
       10    0.000    0.000    0.000    0.000 functools.py:521(decorating_function)
      9/7    0.000    0.000    0.057    0.008 {built-in method builtins.__import__}
        1    0.000    0.000    0.000    0.000 subprocess.py:749(Popen)
       35    0.000    0.000    0.000    0.000 ipaddress.py:1894(_split_scope_id)
        1    0.000    0.000    0.000    0.000 pathlib.py:824(Path)
        6    0.000    0.000    0.000    0.000 locale.py:381(normalize)
        1    0.000    0.000    0.009    0.009 qmd_preflight.py:1(<module>)
        3    0.000    0.000    0.000    0.000 gettext.py:479(find)
        6    0.000    0.000    0.000    0.000 dataclasses.py:1278(fields)
        1    0.000    0.000    0.000    0.000 traceback.py:1(<module>)
       32    0.000    0.000    0.000    0.000 dataclasses.py:489(_field_init)
        1    0.000    0.000    0.000    0.000 {method 'write' of '_io.FileIO' objects}
        9    0.000    0.000    0.000    0.000 <string>:2(__init__)
       42    0.000    0.000    0.012    0.000 __init__.py:226(compile)
       12    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1291(create_module)
       62    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
        6    0.000    0.000    0.000    0.000 dataclasses.py:428(_fields_in_init_order)
       32    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
        9    0.000    0.000    0.000    0.000 contracts.py:196(__post_init__)
